"Year","Month","monthlywtmp"
2011,1,7.38359825573217
2011,2,9.26471822541966
2011,3,13.1661655172414
2011,4,17.1512503473187
2011,5,21.6887469749933
2011,6,25.8914968376669
2011,7,27.8021379588544
2011,8,28.9776458665122
2011,9,27.0511199421965
2011,10,22.6937195296817
2011,11,17.6491264962795
2011,12,14.8223074851912
2012,1,12.8584040975873
2012,2,13.0296695402299
2012,3,15.6489136102903
2012,4,19.5464330413016
2012,5,23.5451621585251
2012,6,25.9141702257474
2012,7,27.7509538628061
2012,8,27.8958997050147
2012,9,27.1224200278164
2012,10,23.7627640963531
2012,11,16.3552624232272
2012,12,14.6060834454913
2013,1,12.2129032258065
2013,2,11.6068801191363
2013,3,12.3278655326043
2013,4,15.545230125523
2013,5,20.248301745168
2013,6,25.813679245283
2013,7,26.3881287182261
2013,8,26.6619659275284
2013,9,27.2800277777778
2013,10,23.1997445893265
2013,11,18.058051439754
2013,12,14.2507868190989
2014,1,12.2407056914966
2014,2,9.96590604026846
2014,3,10.858423180593
2014,4,15.5243467266086
2014,5,21.1042227003765
2014,6,26.4451272070068
2014,7,28.3484170820423
2014,8,28.2127842820616
2014,9,27.3864202715946
2014,10,24.2044939215954
2014,11,17.8184643769515
2014,12,14.1325350949628
2015,1,11.7247002724796
2015,2,10.5970337078652
2015,3,12.162781848929
2015,4,17.6452139965298
2015,5,23.2703007002609
2015,6,27.1251462803009
2015,7,27.4277010223819
2015,8,28.984857958407
2015,9,27.7671065425754
2015,10,23.6209548352095
2015,11,20.1147292217736
2015,12,18.1909511136013
2016,1,14.0575118522151
2016,2,11.4680755914599
2016,3,15.5531002458345
2016,4,18.093998036741
2016,5,22.5129936649144
2016,6,26.7570532478394
2016,7,28.2603056532324
2016,8,28.54564399032
2016,9,28.1014636186228
2016,10,24.2438800324237
2016,11,18.9791981000279
2016,12,14.7817165184586
2017,1,12.6273277717976
2017,2,14.0919086509377
2017,3,14.6109075997813
2017,4,19.7818246110325
2017,5,23.5776534052596
2017,6,25.8155138888889
2017,7,26.7554875560996
2017,8,28.305529395937
2017,9,26.8441866925962
2017,10,24.3392594609311
2017,11,18.6882786429366
2017,12,14.1637501682595
2018,1,8.66793140696732
2018,2,12.1596188207266
2018,3,13.3088096839274
2018,4,16.0327161353195
2018,5,21.4664642375169
2018,6,26.6147983310153
2018,7,29.2250883872722
2018,8,27.258423577793
2018,9,28.8437935447178
2018,10,25.4163952225841
2018,11,19.7466954222902
2018,12,19.3882903000698
2019,1,20.3
2019,2,15.9412348743407
2019,3,13.5363243243243
2019,4,17.0665600667408
2019,5,22.7732641229608
2019,6,25.6665727567263
2019,7,26.5953079584775
2019,8,28.3634866163349
2019,9,27.3668005738881
2019,10,23.9331289179613
2019,11,16.9569908149876
2019,12,13.0653100775194
2020,1,12.6620203389831
2020,2,12.002489146165
2020,3,14.1572850800484
2020,4,18.0145865290754
2020,5,21.3925467509754
2020,6,24.1465313499235
2020,7,27.8106168122271
2020,8,27.6822079910901
2020,9,26.618353989695
2020,10,23.027388190785
2020,11,20.0838540145985
2020,12,14.8089979825151
2021,1,11.3474435382685
2021,2,10.3266447368421
2021,3,13.0371309545372
2021,4,17.1840406289133
2021,5,21.2273202974387
2021,6,24.8273272017837
2021,7,27.3057004571121
2021,8,27.6526959795617
2021,9,26.027375
2021,10,24.045188512318
2021,11,17.1227948326156
2021,12,14.3679079214624
